NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
4083	to surprise	to surprise			N/a
4084	to swagger	to swagger	to behave in a pompous, superior manner		N/a
4085	to swallow	to swallow			Physiologic processes and states
4086	to swarm (bees)	to swarm (bees)			N/a
4087	to sway	to sway			Motion
4088	to swear (an oath)	to swear (an oath)			Speech
4089	to swear, curse	to swear, curse			N/a
4090	to sweat	to sweat			Physiologic processes and states
4091	to sweep	to sweep			Physical effect
4092	to swell up	to swell up			Physical processes
4093	to swim	to swim			Motion
4094	to swingle, scutch, felt	to swingle, scutch, felt	to separate the woody fibre from (flax, hemp, etc.) by beating; to make into felt, or a feltlike substance, to cause to adhere and mat together		N/a
4095	to switch off	to switch off	to power down, to turn off, to put out of operation, to deactivate (an appliance, light, mechanism, functionality etc.).		N/a
4096	to switch on	to switch on			Physical effect
4097	to sympathize	to sympathize			Emotions
4098	to systematize	to systematize	to arrange into a systematic order; to make systematic; to organise as a system		N/a
4099	to take	to take			Physical effect
4100	to take a husband	to take a husband	to marry (about woman)		N/a
4101	to take away, carry away	to take away, carry away			N/a
4102	to take down	to take down	to remove something from a wall or similar vertical surface to which it is fixed		N/a
4103	to take into account	to take into account			Mental acts and states
4104	to take off (tr.)	to take off (tr.)	None		N/a
4105	to take one thing for another	to take one thing for another			N/a
4106	to take out	to take out			Physical effect
4107	to take possession	to take possession			N/a
4108	to take prisoner	to take prisoner			Physical effect
4109	to talk in a complicated way	to talk in a complicated way			N/a
4110	to talk nonsense	to talk nonsense			N/a
4111	to tame	to tame			Interpersonal relations
4112	to tame (animal)	to tame (animal)	to make an animal tame		N/a
4113	to tan (hides)	to tan (hides)			Physical effect
4114	to taste (tr.)	to taste (tr.)	to sample the flavor of something orally		Perception
4115	to teach	to teach			Interpersonal relations
4116	to teach	to teach			Interpersonal relations
4117	to tear apart	to tear apart	to tear into pieces		N/a
4118	to tear off, peel off	to tear off, peel off			Physical effect
4119	to tear, rend	to tear, rend			Physical effect
4120	to tell	to tell			Speech
4121	to tell a person's fortune	to tell a person&#39;s fortune			Interpersonal relations
4122	to tell lie	to tell lie			Interpersonal relations
4123	to temper (iron)	to temper (iron)			Physical effect
4124	to think	to think			Mental acts and states
4125	to threaten	to threaten			N/a
4126	to thresh (grain)	to thresh (grain)			Physical effect
4127	to throw	to throw			Physical effect
4128	to throw a lasso	to throw a lasso			N/a
4129	to throw on the ground	to throw on the ground			N/a
4130	to thrust (into)	to thrust (into)			Physical effect
4131	to thunder	to thunder			Sound
4132	to tickle	to tickle			Physical effect
4133	to tie	to tie	to twist (a string, rope, or the like) around itself securely		Physical effect
4134	to tin	to tin	to coat with tin		Physical effect
4135	to torture	to torture			Physical effect
4136	to torture	to torture			Physical effect
4137	to toss	to toss	to throw with an initial upward direction		N/a
4138	to touch	to touch			Physical effect
4139	to trade	to trade	None		Interpersonal relations
4140	to trade	to trade	to be a merchant, to be engaged in trading		N/a
4141	to transit	to transit			Motion
4142	to translate	to translate			Speech
4143	to travel	to travel			N/a
4144	to tread	to tread			Physical effect
4145	to treat, regale	to treat, regale			Interpersonal relations
4146	to tremble	to tremble			Physical processes
4147	to trust	to trust			N/a
4148	to trust / to believe in	to trust / to believe in	...		N/a
4149	to try, to attempt	to try, to attempt			Modal
4150	to turn (of age)	to turn (of age)			N/a
4151	to turn back to look at smth.	to turn back to look at smth.			Motion
4152	to turn into (tr.)	to turn into (tr.)			N/a
4153	to turn into an animal	to turn into an animal			N/a
4154	to turn over	to turn over			Physical effect
4155	to turn round	to turn round			Motion
4156	to turn sour	to turn sour			Physical processes
4157	to turn upside down, roll over	to turn upside down, roll over			N/a
4158	to turn, rotate (intr.)	to turn, rotate (intr.)			Motion
4159	to turn, rotate (tr.)	to turn, rotate (tr.)			Physical effect
4160	to twinkle, glimmer	to twinkle, glimmer	(of a source of light) to shine with a flickering light		N/a
4161	to twist (a rope)	to twist (a rope)			N/a
4162	to understand	to understand			Mental acts and states
4163	to undress (intr.)	to undress (intr.)	to remove one’s clothing		Physical effect
4164	to undress (tr.)	to undress (tr.)	to remove the clothing of someone		N/a
4165	to unfold, unwind	to unfold, unwind	None		N/a
4166	to unite	to unite	to bring together		Non-physical
4167	to unload, download	to unload, download			N/a
4168	to unravel	to unravel			N/a
4169	to untie, unbind	to untie, unbind			Physical effect
4170	to untwist, unscrew (intr.)	to untwist, unscrew (intr.)			N/a
4171	to uproot	to uproot	to tear up (a plant, tree etc.) by the roots		N/a
4172	to urinate	to urinate	to pass urine from the body		N/a
4173	to use	to use			N/a
4174	to vaccinate 	to vaccinate			N/a
4175	to vex, exasperate	to vex, exasperate			Emotions
4176	to visit	to visit			Interpersonal relations
4177	to vomit	to vomit			Physical processes
4178	to wait	to wait			Interpersonal relations
4179	to wake up (intr.)	to wake up (intr.)			Physical processes
4180	to walk, to go	to walk, to go			Motion
4181	to walk, wander	to walk, wander			Motion
4182	to wander off	to wander off	to wander off in different directions (of many people)		N/a
4183	to wane (of the Moon)	to wane (of the Moon)	said of the Moon as it passes through the phases of its monthly cycle where its surface is less and less visible		N/a
4184	to want	to want			Volition
4185	to warm up	to warm up			N/a
4186	to wash	to wash			Physical effect
4187	to wash (clothes)	to wash (clothes)			Physical effect
4188	to waste	to waste			Interpersonal relations
4189	to watch, look after	to watch, look after			Interpersonal relations
4190	to water (plants)	to water (plants)			Physical effect
4191	to water, to give water	to water, to give water			Physical effect
4192	to wave (of water)	to wave (of water)			Physical processes
4193	to weaken (about wind)	to weaken (about wind)			N/a
4194	to weaken (intr.)	to weaken (intr.)			Physical processes
4195	to weaken, loosen	to weaken, loosen			Physical effect
4196	to wear (clothes)	to wear (clothes)			N/a
4197	to weave	to weave			N/a
4198	to weed	to weed	to remove unwanted vegetation from a cultivated area		N/a
4199	to weigh (intr.)	to weigh (intr.)			Abstract relations
4200	to weigh (tr.)	to weigh (tr.)			N/a
4201	to weld	to weld	to unite (metallic parts) by heating and allowing the metals to flow together or by hammering or compressing with or without previous heating (Merriam-Webster)		N/a
4202	to wet, moisten	to wet, moisten			Physical effect
4203	to whet	to whet			Physical effect
4204	to whine	to whine			N/a
4205	to whip	to whip			N/a
4206	to whisper	to whisper			N/a
4207	to whistle	to whistle	to make a shrill, high-pitched sound by forcing air through the mouth		Artifacts
4208	to winnow	to winnow			Physical effect
4209	to wipe	to wipe			N/a
4210	to wither	to wither	to shrivel, droop or dry up, especially from lack of water		N/a
4211	to work	to work			Physical effect
4212	to work carelessly	to work carelessly			N/a
4213	to worry, be agitated	to worry, be agitated			Perception
4214	to worship	to worship			N/a
4215	to wound (tr.)	to wound (tr.)			Physical effect
4216	to wrestle	to wrestle			N/a
4217	to wring a cloth	to wring a cloth	to squeeze or twist a cloth tightly after washing so water is forced out		N/a
4218	to write	to write			Physical effect
4219	to yawn	to yawn	to open the mouth wide and take a deep breath usually as an involuntary reaction to fatigue or boredom		N/a
4220	to yield (of land)	to yield (of land)			N/a
4221	toad	toad			Animals
4222	tobacco	tobacco			N/a
4223	tobacco pipe	tobacco pipe	small, hand-held device consisting in its simplest form of a bowl and stem; used for inhaling the smoke of burning tobacco		N/a
4224	today	today			Abstract entities
4225	together	together			N/a
4226	toilet	toilet			Artifacts
4227	tomato (Solanum lycopersicum)	tomato (Solanum lycopersicum)			N/a
4228	tomb	tomb			Artifacts
4229	tomorrow	tomorrow			Time
4230	tone	tone	character of a sound, especially the timbre of an instrument or voice		Body parts
4231	tongue (body part)	tongue (body part)			Body parts
4232	tonsil	tonsil			Body parts
4233	tonsure (of monk)	tonsure (of monk)			N/a
4234	too much	too much			N/a
4235	tooth	tooth			Body parts
4236	toothless	toothless			N/a
4237	top of the head	top of the head			N/a
4238	top, upper part	top, upper part	None		Space
4239	top/crown (of a tree)	top/crown (of a tree)			Natural objects
4240	torch	torch	stick with a flame on one end, used chiefly as a light source; a similarly shaped implement with a replaceable supply of flammable material.		N/a
4241	torch fishing	torch fishing			N/a
4242	torn	torn			N/a
4243	torpid person	torpid person	physically inactive, sluggish, listless		N/a
4244	torso	torso			Body parts
4245	tortoise, turtle	tortoise, turtle			Animals
4246	totally, absolutely	totally, absolutely			Abstract relations
4247	touched	touched			N/a
4248	tower	tower			Artifacts
4249	town	town			Artifacts
4250	toy	toy			N/a
4251	trace	trace			N/a
4252	track idler wheel	track idler wheel			N/a
4253	trader	trader	one who earns a living by trading		N/a
4254	traffic jam	traffic jam			N/a
4255	trailer (vehicle)	trailer (vehicle)	unpowered wheeled vehicle, that is towed behind another		N/a
4256	trait	trait	"aspect of personality,	personal characteristics, a feature of a character"		N/a
4257	traitor	traitor	one who violates allegiance and betrays one&#39;s country		N/a
4258	transparent	transparent			Light and Colour
4259	transport station	transport station			Artifacts
4260	transversal, crosscut	transversal, crosscut			N/a
4261	trap, snare (n.)	trap, snare (n.)			Artifacts
4262	tray	tray	mall, typically rectangular or round, flat, and rigid object upon which things are carried		N/a
4263	tree	tree			Natural objects
4264	trench	trench	long, narrow ditch or hole		Interpersonal relations
4265	triangle	triangle			N/a
4266	tribe	tribe			Abstract entities
4267	tribunal	tribunal			N/a
4268	trick, deceit	trick, deceit	a concealed difficulty or complication		N/a
4269	trick, hocus-pocus	trick, hocus-pocus			Abstract entities
4270	trigger (of a gun)	trigger (of a gun)	finger-operated lever used to fire a gun		N/a
4271	Triglidae (fish)	Triglidae (fish)			N/a
4272	Trimorphodon biscutatus	Trimorphodon biscutatus			N/a
4273	troop (of animals)	troop (of animals)			Animals
4274	troop (of fishes)	troop (of fishes)			N/a
4275	trough	trough			N/a
4276	trouser-leg	trouser-leg			Artifacts
4277	truck, lorry	truck, lorry			N/a
4278	true sedge (Carex)	true sedge (Carex)	plant Carex sp.		N/a
4279	truffle	truffle			N/a
4280	trump (in cards)	trump (in cards)			Artifacts
4281	trumpet	trumpet			N/a
4282	trunk (of a tree)	trunk (of a tree)	usually single, more or less upright part of a tree, between the roots and the branches		Natural objects
4283	trunk, proboscis (of elephant)	trunk, proboscis (of elephant)	conspicuously extended, mobile, nose-like organ of an animal such as a sengi, a tapir or especially an elephant		Animals
